City,Zip Code,County,Median Income,Cost Of Living Index ($),Median Mortgage To Income Ratio (%),Owner Occupied Homes (%),Median Rooms In Home,College Degree (%),Professional (%),Population,Average Household Size,Median Age,Male To Female Ratio (%),Married (%),Divorced (%),White (%),Black (%),Asian (%),Hispanic Ethnicity (%)
Maple Shade,8052,Burlington,"45,426",115.3,24.2,49.8,4.7,21.4,32.9,"19,079",2.2,36.5,91.7,50.1,10.9,81.1,6.8,5.5,4.9
Marlton,8053,Burlington,"66,642",166.6,23.4,76.5,6.6,40.3,48.4,"40,124",2.6,35.9,89.6,63.0,8.0,89.8,3.1,3.7,1.8
Mount Laurel,8054,Burlington,"63,750",162.4,23.0,83.6,6.1,42.1,49.5,"40,221",2.4,38.9,84.7,61.9,7.9,85.4,6.8,4.2,2.1
Medford,8055,Burlington,"81,863",220.0,23.7,86.8,7.7,49.7,53.7,"26,983",2.7,40.0,87.5,69.9,5.9,95.9,0.9,1.0,1.0
Moorestown,8057,Burlington,"78,441",275.0,23.0,81.5,7.4,51.9,55.8,"19,224",2.7,40.9,83.6,65.5,7.3,88.1,4.4,2.6,1.9
Mount Holly,8060,Burlington,"58,022",137.6,23.4,73.4,6.2,25.2,36.0,"36,896",2.7,35.4,92.5,59.5,9.8,72.3,15.8,3.0,5.8
New Lisbon,8064,Burlington,,,,,,,,,,,,,,,,,
Palmyra,8065,Burlington,"51,150",121.7,23.2,69.9,5.6,21.8,32.5,"7,091",2.3,38.0,89.8,52.5,12.3,79.7,14.4,1.4,2.5
Pemberton,8068,Burlington,"46,136",121.6,21.8,56.9,5.3,12.2,20.8,"6,475",2.6,37.3,87.2,49.4,9.6,53.9,28.5,2.1,10.6
Rancocas,8073,Burlington,,,,,,,,,,,,,,,,,
Riverside,8075,Burlington,"52,873",144.7,23.4,71.9,6.1,21.2,31.4,"26,477",2.6,36.3,95.0,58.5,8.3,84.7,6.7,2.2,3.0
Riverton,8076,Burlington,,,,,,,,,,,,,,,,,
Riverton,8077,Burlington,"66,844",174.3,22.2,92.8,7.5,30.0,40.4,"17,354",2.8,41.9,88.2,65.2,5.3,91.7,4.5,1.6,0.8
Vincentown,8088,Burlington,"60,773",167.4,23.4,94.2,6.6,26.2,38.2,"24,364",2.6,41.9,91.0,67.0,5.5,96.1,0.8,0.7,1.5
New Gretna,8224,Burlington,,,,,,,,,,,,,,,,,
Bordentown,8505,Burlington,"58,844",150.7,23.0,74.7,5.9,26.3,36.3,"15,163",2.5,38.1,90.8,58.6,8.8,86.3,6.8,1.8,2.7
Cookstown,8511,Burlington,,,,,,,,,,,,,,,,,
Chesterfield,8515,Burlington,,,,,,,,,,,,,,,,,
Florence,8518,Burlington,"50,709",124.3,24.0,68.8,5.3,17.2,33.2,"4,848",2.4,36.9,85.3,54.5,9.7,79.2,12.9,3.7,2.7
Roebling,8554,Burlington,"54,848",102.7,18.8,78.6,6.1,15.7,26.9,"3,684",2.5,36.1,87.1,55.5,9.8,89.6,6.1,1.3,1.3
Wrightstown,8562,Burlington,"54,227",179.0,25.8,73.7,5.5,19.8,28.8,"4,744",2.7,37.0,88.9,57.0,8.7,81.8,6.8,2.3,5.9
Fort Dix,8640,Burlington,"41,456",105.0,32.5,6.4,4.5,9.7,24.3,"7,439",9.0,33.6,925.0,77.1,3.8,41.1,32.8,1.1,23.1
Trenton,8641,Burlington,"36,272",99.3,32.5,0.5,5.5,18.8,28.0,"6,873",4.2,22.5,117.4,66.1,2.9,64.0,17.1,2.2,8.8
Cherry Hill,8002,Camden,"52,121",149.1,23.2,74.0,6.4,33.5,44.6,"20,886",2.5,42.5,79.5,56.1,8.1,81.6,5.4,7.5,3.6
Cherry Hill,8003,Camden,"87,248",201.5,21.4,90.7,7.9,57.4,58.7,"30,700",2.8,41.5,87.0,67.5,5.3,82.6,3.5,11.9,0.8
Atco,8004,Camden,"57,261",132.8,24.5,87.3,6.6,16.9,30.9,"14,707",2.8,36.0,91.4,63.2,6.4,86.2,8.4,1.5,2.3
Barrington,8007,Camden,"43,891",117.2,22.7,63.8,5.6,18.1,36.8,"5,350",2.3,38.4,85.1,55.5,8.8,91.6,3.6,1.1,2.6
Berlin,8009,Camden,"55,369",136.8,23.5,81.1,6.3,19.5,30.9,"11,877",2.8,36.6,92.1,59.9,6.9,86.0,7.2,1.9,3.8
Blackwood,8012,Camden,"53,479",133.0,23.4,69.6,6.1,23.7,34.7,"39,398",2.7,36.2,88.5,57.0,8.0,83.6,9.5,2.7,2.7
Cedar Brook,8018,Camden,,,,,,,,,,,,,,,,,
Clementon,8021,Camden,"41,160",99.3,24.0,55.1,4.9,16.0,27.7,"45,733",2.4,34.2,87.0,49.7,10.9,71.5,18.1,2.4,5.2
Gibbsboro,8026,Camden,"57,326",129.1,25.9,91.4,7.0,23.3,40.6,"2,435",2.9,38.6,91.8,64.4,5.7,90.9,4.6,0.6,2.6
Glendora,8029,Camden,"42,233",115.3,22.6,79.5,6.0,9.4,24.4,"4,914",2.5,40.4,77.7,57.0,7.1,95.4,0.4,0.2,1.6
Gloucester City,8030,Camden,"38,243",86.2,22.2,74.1,5.8,8.1,20.2,"13,474",2.6,36.4,87.0,49.2,8.8,96.2,0.8,0.5,1.9
Bellmawr,8031,Camden,"43,987",105.6,23.0,70.7,5.5,10.2,23.0,"11,617",2.5,39.7,91.5,54.5,7.4,89.5,1.6,3.9,3.8
Haddonfield,8033,Camden,"72,340",210.3,22.3,76.4,6.8,56.9,60.3,"16,553",2.4,41.3,84.0,61.7,5.8,94.8,1.7,1.0,1.3
Cherry Hill,8034,Camden,"66,284",154.7,21.6,81.4,6.9,42.9,51.6,"18,287",2.5,41.7,88.0,61.0,6.5,86.3,3.1,6.8,2.2
Haddon Heights,8035,Camden,"58,424",155.1,23.1,78.0,6.5,38.0,48.9,"7,547",2.4,40.6,84.0,60.8,6.9,97.8,0.1,0.3,1.4
Voorhees,8043,Camden,"68,402",192.9,24.1,67.7,6.4,46.1,54.0,"28,126",2.6,37.2,87.5,61.3,7.2,76.3,7.7,10.9,2.8
